league,season,team,avg_scored_home,avg_conceded_home,home_win_pct,home_close_match_pct,avg_scored_away,avg_conceded_away,away_win_pct,away_close_match_pct,overall_avg_conceded,players_used,avg_age,goals,goals_per90,assists,assists_per90,goals_and_assists,goals_and_assists_per90,goals_excluding_pk,goals_excluding_pk_per90,penalty_kicks,penalty_attempts,yellow_cards,red_cards,goals_and_assists_excl_pk
Bundesliga,2010-2011,BAYERN MUNICH,2.82,0.76,76.47,23.53,1.94,1.59,35.29,17.65,1.18,24,26.5,77,2.26,54,1.59,131,3.85,74,2.18,3,6,43,2.0,3.76
Bundesliga,2010-2011,DORTMUND,2.06,0.47,70.59,5.88,1.88,0.82,64.71,29.41,0.65,23,23.4,63,1.85,42,1.24,105,3.09,63,1.85,0,3,41,1.0,3.09
Bundesliga,2010-2011,EINT FRANKFURT,0.76,1.41,29.41,29.41,1.06,1.47,23.53,41.18,1.44,27,26.2,31,0.91,20,0.59,51,1.5,27,0.79,4,4,75,3.0,1.38
Bundesliga,2010-2011,FREIBURG,1.41,1.41,47.06,64.71,1.0,1.53,29.41,52.94,1.47,27,25.5,38,1.12,21,0.62,59,1.74,34,1.0,4,6,48,3.0,1.62
Bundesliga,2010-2011,GLADBACH,1.53,1.82,29.41,47.06,1.29,2.0,29.41,41.18,1.91,28,25.8,47,1.38,29,0.85,76,2.24,43,1.26,4,4,56,8.0,2.12
Bundesliga,2010-2011,HAMBURGER SV,1.71,1.41,41.18,29.41,1.0,1.65,29.41,47.06,1.53,25,28.0,45,1.32,28,0.82,73,2.15,42,1.24,3,3,55,2.0,2.06
Bundesliga,2010-2011,HANNOVER 96,1.88,1.0,70.59,47.06,1.0,1.65,41.18,35.29,1.32,23,25.6,48,1.41,30,0.88,78,2.29,45,1.32,3,3,60,5.0,2.21
Bundesliga,2010-2011,HOFFENHEIM,1.65,1.24,41.18,47.06,1.29,1.71,23.53,41.18,1.47,28,23.9,48,1.41,27,0.79,75,2.21,43,1.26,5,5,63,4.0,2.06
Bundesliga,2010-2011,KAISERSLAUTERN,1.47,1.12,35.29,29.41,1.35,1.88,41.18,52.94,1.5,25,25.2,47,1.38,32,0.94,79,2.32,46,1.35,1,2,63,4.0,2.29
Bundesliga,2010-2011,KÖLN,1.76,1.24,64.71,47.06,1.0,2.41,11.76,29.41,1.82,30,26.3,47,1.38,25,0.74,72,2.12,45,1.32,2,2,79,1.0,2.06
Bundesliga,2010-2011,LEVERKUSEN,1.94,1.41,52.94,29.41,1.82,1.18,64.71,41.18,1.29,21,25.2,62,1.82,39,1.15,101,2.97,56,1.65,6,6,57,1.0,2.79
Bundesliga,2010-2011,MAINZ 05,1.29,0.94,47.06,47.06,1.76,1.35,58.82,52.94,1.15,26,26.1,49,1.44,37,1.09,86,2.53,46,1.35,3,5,54,1.0,2.44
Bundesliga,2010-2011,NÜRNBERG,1.65,1.12,52.94,41.18,1.12,1.53,23.53,23.53,1.32,28,25.2,45,1.32,28,0.82,73,2.15,43,1.26,2,4,69,3.0,2.09
Bundesliga,2010-2011,SCHALKE 04,1.41,1.06,41.18,47.06,0.82,1.53,23.53,47.06,1.29,31,25.3,37,1.09,23,0.68,60,1.76,35,1.03,2,3,57,4.0,1.71
Bundesliga,2010-2011,ST. PAULI,1.24,2.06,23.53,35.29,0.82,1.94,23.53,41.18,2.0,28,26.7,34,1.0,23,0.68,57,1.68,31,0.91,3,3,60,5.0,1.59
Bundesliga,2010-2011,STUTTGART,1.94,1.59,41.18,35.29,1.59,1.88,29.41,41.18,1.74,27,24.8,60,1.76,35,1.03,95,2.79,54,1.59,6,8,64,4.0,2.62
Bundesliga,2010-2011,WERDER BREMEN,1.53,1.35,35.29,35.29,1.24,2.24,23.53,5.88,1.79,28,26.6,43,1.26,29,0.85,72,2.12,36,1.06,7,11,71,4.0,1.91
Bundesliga,2010-2011,WOLFSBURG,1.59,1.53,29.41,41.18,0.94,1.29,23.53,41.18,1.41,28,26.4,43,1.26,28,0.82,71,2.09,43,1.26,0,4,73,2.0,2.09
Bundesliga,2011-2012,AUGSBURG,1.18,1.12,35.29,29.41,0.94,1.76,11.76,35.29,1.44,29,26.8,36,1.06,28,0.82,64,1.88,32,0.94,4,5,66,2.0,1.76
Bundesliga,2011-2012,BAYERN MUNICH,2.88,0.35,82.35,23.53,1.65,0.94,52.94,47.06,0.65,21,25.4,75,2.21,49,1.44,124,3.65,66,1.94,9,11,44,3.0,3.38
Bundesliga,2011-2012,DORTMUND,2.59,0.71,82.35,29.41,2.12,0.76,64.71,35.29,0.74,23,24.4,80,2.35,58,1.71,138,4.06,79,2.32,1,1,35,2.0,4.03
Bundesliga,2011-2012,FREIBURG,1.41,1.18,35.29,41.18,1.24,2.41,23.53,23.53,1.79,31,24.9,44,1.29,31,0.91,75,2.21,41,1.21,3,4,56,1.0,2.12
Bundesliga,2011-2012,GLADBACH,1.71,0.59,52.94,29.41,1.18,0.82,47.06,64.71,0.71,25,25.6,49,1.44,35,1.03,84,2.47,46,1.35,3,3,51,1.0,2.38
Bundesliga,2011-2012,HAMBURGER SV,1.12,1.71,17.65,23.53,0.94,1.65,29.41,41.18,1.68,26,25.2,35,1.03,15,0.44,50,1.47,32,0.94,3,3,64,2.0,1.38
Bundesliga,2011-2012,HANNOVER 96,1.82,1.0,58.82,41.18,0.59,1.65,11.76,35.29,1.32,23,26.5,38,1.12,25,0.74,63,1.85,33,0.97,5,5,66,3.0,1.71
Bundesliga,2011-2012,HERTHA BSC,1.12,1.71,23.53,58.82,1.12,2.06,17.65,23.53,1.88,25,26.0,37,1.09,25,0.74,62,1.82,36,1.06,1,2,74,8.0,1.79
Bundesliga,2011-2012,HOFFENHEIM,1.24,1.0,23.53,35.29,1.18,1.76,35.29,23.53,1.38,27,24.2,38,1.12,22,0.65,60,1.76,30,0.88,8,9,72,3.0,1.53
Bundesliga,2011-2012,KAISERSLAUTERN,0.71,1.65,11.76,29.41,0.71,1.53,11.76,35.29,1.59,32,25.4,21,0.62,15,0.44,36,1.06,20,0.59,1,1,71,4.0,1.03
Bundesliga,2011-2012,KÖLN,1.18,1.71,29.41,17.65,1.12,2.71,17.65,35.29,2.21,26,26.3,39,1.15,29,0.85,68,2.0,36,1.06,3,3,69,6.0,1.91
Bundesliga,2011-2012,LEVERKUSEN,1.65,1.41,47.06,29.41,1.41,1.18,41.18,29.41,1.29,26,24.4,51,1.5,34,1.0,85,2.5,50,1.47,1,2,48,4.0,2.47
Bundesliga,2011-2012,MAINZ 05,1.59,1.53,41.18,23.53,1.18,1.47,11.76,29.41,1.5,27,27.1,46,1.35,31,0.91,77,2.26,41,1.21,5,5,51,2.0,2.12
Bundesliga,2011-2012,NÜRNBERG,1.29,1.47,35.29,41.18,0.94,1.41,35.29,52.94,1.44,27,25.4,38,1.12,27,0.79,65,1.91,35,1.03,3,3,74,2.0,1.82
Bundesliga,2011-2012,SCHALKE 04,2.76,0.82,76.47,17.65,1.59,1.76,41.18,35.29,1.29,28,24.5,74,2.18,50,1.47,124,3.65,68,2.0,6,7,65,2.0,3.47
Bundesliga,2011-2012,STUTTGART,2.12,1.0,58.82,35.29,1.59,1.71,29.41,23.53,1.35,26,26.2,63,1.85,42,1.24,105,3.09,58,1.71,5,5,67,4.0,2.94
Bundesliga,2011-2012,WERDER BREMEN,1.82,1.35,47.06,29.41,1.06,2.06,17.65,29.41,1.71,31,25.2,49,1.44,37,1.09,86,2.53,46,1.35,3,3,67,5.0,2.44
Bundesliga,2011-2012,WOLFSBURG,1.71,1.29,58.82,70.59,1.06,2.24,17.65,5.88,1.76,36,26.5,44,1.29,36,1.06,80,2.35,42,1.24,2,2,67,4.0,2.29
Bundesliga,2012-2013,AUGSBURG,1.12,1.29,29.41,11.76,0.82,1.71,17.65,35.29,1.5,29,25.9,33,0.97,22,0.65,55,1.62,33,0.97,0,1,68,2.0,1.62
Bundesliga,2012-2013,BAYERN MUNICH,3.29,0.65,82.35,17.65,2.47,0.41,88.24,23.53,0.53,24,26.1,94,2.76,79,2.32,173,5.09,90,2.65,4,5,37,1.0,4.97
Bundesliga,2012-2013,DORTMUND,2.35,1.12,58.82,23.53,2.41,1.35,52.94,35.29,1.24,23,24.9,81,2.38,63,1.85,144,4.24,76,2.24,5,7,43,4.0,4.09
Bundesliga,2012-2013,DÜSSELDORF,1.41,1.65,29.41,29.41,0.88,1.71,11.76,47.06,1.68,28,26.6,36,1.06,21,0.62,57,1.68,33,0.97,3,4,80,3.0,1.59
Bundesliga,2012-2013,EINT FRANKFURT,1.88,1.35,52.94,47.06,1.0,1.35,29.41,17.65,1.35,27,24.9,46,1.35,36,1.06,82,2.41,43,1.26,3,3,66,3.0,2.32
Bundesliga,2012-2013,FREIBURG,1.47,1.06,47.06,23.53,1.18,1.29,35.29,47.06,1.18,27,24.4,44,1.29,30,0.88,74,2.18,40,1.18,4,4,58,3.0,2.06
Bundesliga,2012-2013,GLADBACH,1.59,1.18,47.06,52.94,1.06,1.71,23.53,23.53,1.44,22,25.3,44,1.29,29,0.85,73,2.15,40,1.18,4,4,57,1.0,2.03
Bundesliga,2012-2013,GREUTHER FÜRTH,0.59,2.12,0.0,35.29,0.94,1.41,23.53,35.29,1.76,32,24.9,24,0.71,19,0.56,43,1.26,23,0.68,1,4,83,6.0,1.24
Bundesliga,2012-2013,HAMBURGER SV,1.06,1.06,47.06,64.71,1.41,2.06,35.29,23.53,1.56,25,24.9,42,1.24,36,1.06,78,2.29,40,1.18,2,3,69,4.0,2.24
Bundesliga,2012-2013,HANNOVER 96,2.0,1.35,52.94,35.29,1.53,2.29,23.53,35.29,1.82,25,26.8,59,1.74,41,1.21,100,2.94,53,1.56,6,6,81,4.0,2.76
Bundesliga,2012-2013,HOFFENHEIM,1.24,1.76,29.41,35.29,1.24,2.18,17.65,29.41,1.97,33,24.3,41,1.21,31,0.91,72,2.12,36,1.06,5,5,78,5.0,1.97
Bundesliga,2012-2013,LEVERKUSEN,2.12,0.88,70.59,41.18,1.71,1.41,41.18,35.29,1.15,24,24.3,65,1.91,51,1.5,116,3.41,61,1.79,4,8,61,2.0,3.29
Bundesliga,2012-2013,MAINZ 05,1.29,1.12,41.18,41.18,1.18,1.47,17.65,17.65,1.29,29,28.4,42,1.24,26,0.76,68,2.0,38,1.12,4,5,73,4.0,1.88
Bundesliga,2012-2013,NÜRNBERG,1.41,1.12,41.18,35.29,0.88,1.65,23.53,47.06,1.38,25,27.0,39,1.15,27,0.79,66,1.94,36,1.06,3,4,70,2.0,1.85
Bundesliga,2012-2013,SCHALKE 04,2.06,1.29,58.82,41.18,1.35,1.65,35.29,29.41,1.47,26,25.1,56,1.65,48,1.41,104,3.06,53,1.56,3,5,58,3.0,2.97
Bundesliga,2012-2013,STUTTGART,1.18,1.65,29.41,35.29,1.0,1.59,41.18,41.18,1.62,27,25.6,34,1.0,21,0.62,55,1.62,28,0.82,6,8,77,7.0,1.44
Bundesliga,2012-2013,WERDER BREMEN,1.35,1.76,29.41,23.53,1.59,2.12,17.65,41.18,1.94,24,24.2,49,1.44,37,1.09,86,2.53,44,1.29,5,6,63,6.0,2.38
Bundesliga,2012-2013,WOLFSBURG,1.24,1.76,17.65,0.0,1.53,1.29,41.18,29.41,1.53,29,27.1,46,1.35,36,1.06,82,2.41,43,1.26,3,3,61,4.0,2.32
Bundesliga,2013-2014,AUGSBURG,1.59,1.29,52.94,47.06,1.18,1.47,35.29,41.18,1.38,27,26.7,46,1.35,33,0.97,79,2.32,44,1.29,2,2,61,0.0,2.26
Bundesliga,2013-2014,BTSV,1.06,1.41,29.41,41.18,0.65,2.12,5.88,11.76,1.76,27,26.0,28,0.82,22,0.65,50,1.47,27,0.79,1,3,66,0.0,1.44
Bundesliga,2013-2014,BAYERN MUNICH,2.82,0.88,88.24,23.53,2.71,0.47,82.35,23.53,0.68,25,26.5,93,2.74,74,2.18,167,4.91,88,2.59,5,7,45,0.0,4.76
Bundesliga,2013-2014,DORTMUND,2.41,1.12,64.71,47.06,2.29,1.12,64.71,29.41,1.12,26,25.9,80,2.35,51,1.5,131,3.85,70,2.06,10,10,45,,3.56
Bundesliga,2013-2014,EINT FRANKFURT,1.29,1.41,29.41,47.06,1.06,1.94,23.53,23.53,1.68,27,25.6,38,1.12,28,0.82,66,1.94,37,1.09,1,2,79,0.0,1.91
Bundesliga,2013-2014,FREIBURG,1.47,1.76,35.29,29.41,1.06,1.82,17.65,23.53,1.79,30,23.9,42,1.24,31,0.91,73,2.15,41,1.21,1,2,66,0.0,2.12
Bundesliga,2013-2014,GLADBACH,2.24,1.0,64.71,23.53,1.24,1.53,29.41,29.41,1.26,21,25.6,57,1.68,38,1.12,95,2.79,51,1.5,6,8,56,0.0,2.62
Bundesliga,2013-2014,HAMBURGER SV,1.41,2.0,29.41,23.53,1.59,2.41,11.76,29.41,2.21,28,25.0,50,1.47,31,0.91,81,2.38,47,1.38,3,3,58,0.0,2.29
Bundesliga,2013-2014,HANNOVER 96,1.59,1.47,47.06,29.41,1.12,2.0,23.53,23.53,1.74,26,25.7,46,1.35,32,0.94,78,2.29,43,1.26,3,4,75,0.0,2.21
Bundesliga,2013-2014,HERTHA BSC,1.18,1.41,35.29,35.29,1.18,1.41,29.41,35.29,1.41,25,26.1,40,1.18,30,0.88,70,2.06,36,1.06,4,5,58,0.0,1.94
Bundesliga,2013-2014,HOFFENHEIM,2.53,1.82,41.18,23.53,1.71,2.29,23.53,29.41,2.06,25,24.0,72,2.12,46,1.35,118,3.47,62,1.82,10,14,63,0.0,3.18
Bundesliga,2013-2014,LEVERKUSEN,2.06,1.29,58.82,47.06,1.47,1.12,52.94,58.82,1.21,24,25.4,58,1.71,43,1.26,101,2.97,56,1.65,2,2,70,0.0,2.91
Bundesliga,2013-2014,MAINZ 05,1.65,1.0,58.82,23.53,1.41,2.18,35.29,35.29,1.59,28,26.8,50,1.47,34,1.0,84,2.47,47,1.38,3,3,53,0.0,2.38
Bundesliga,2013-2014,NÜRNBERG,0.94,1.88,17.65,11.76,1.24,2.24,11.76,17.65,2.06,27,25.9,37,1.09,27,0.79,64,1.88,35,1.03,2,3,76,0.0,1.82
Bundesliga,2013-2014,SCHALKE 04,2.18,0.94,70.59,11.76,1.53,1.59,41.18,35.29,1.26,30,24.6,60,1.76,39,1.15,99,2.91,55,1.62,5,8,59,0.0,2.76
Bundesliga,2013-2014,STUTTGART,1.65,1.65,29.41,41.18,1.24,2.0,17.65,35.29,1.82,27,24.8,48,1.41,37,1.09,85,2.5,46,1.35,2,5,62,0.0,2.44
Bundesliga,2013-2014,WERDER BREMEN,1.24,1.76,35.29,29.41,1.24,2.12,23.53,29.41,1.94,27,25.8,39,1.15,28,0.82,67,1.97,37,1.09,2,3,77,0.0,1.91
Bundesliga,2013-2014,WOLFSBURG,2.18,1.29,64.71,17.65,1.53,1.65,41.18,41.18,1.47,26,25.9,62,1.82,38,1.12,100,2.94,58,1.71,4,5,64,0.0,2.82
Bundesliga,2014-2015,AUGSBURG,1.65,1.24,52.94,35.29,0.88,1.29,35.29,76.47,1.26,25,27.6,43,1.26,29,0.85,72,2.12,36,1.06,7,9,63,0.0,1.91
Bundesliga,2014-2015,BAYERN MUNICH,2.71,0.41,82.35,29.41,2.0,0.65,64.71,23.53,0.53,28,26.6,78,2.29,49,1.44,127,3.74,72,2.12,6,6,37,0.0,3.56
Bundesliga,2014-2015,DORTMUND,1.53,0.88,52.94,41.18,1.24,1.59,23.53,52.94,1.24,28,26.5,46,1.35,39,1.15,85,2.5,44,1.29,2,3,54,,2.44
Bundesliga,2014-2015,EINT FRANKFURT,2.12,1.53,52.94,41.18,1.18,2.12,11.76,23.53,1.82,26,25.9,54,1.59,33,0.97,87,2.56,51,1.5,3,4,89,0.0,2.47
Bundesliga,2014-2015,FREIBURG,1.24,1.29,29.41,35.29,0.88,1.47,11.76,29.41,1.38,27,25.1,36,1.06,26,0.76,62,1.82,30,0.88,6,9,66,0.0,1.65
Bundesliga,2014-2015,GLADBACH,1.88,0.82,70.59,29.41,1.24,0.71,41.18,41.18,0.76,19,25.7,53,1.56,39,1.15,92,2.71,50,1.47,3,3,56,0.0,2.62
Bundesliga,2014-2015,HAMBURGER SV,0.94,1.06,33.33,38.89,0.61,1.83,22.22,38.89,1.44,31,27.3,22,0.65,15,0.44,37,1.09,19,0.56,3,3,89,0.0,1.0
Bundesliga,2014-2015,HANNOVER 96,1.24,1.47,35.29,41.18,1.12,1.82,17.65,35.29,1.65,25,26.0,38,1.12,26,0.76,64,1.88,36,1.06,2,3,83,0.0,1.82
Bundesliga,2014-2015,HERTHA BSC,1.0,1.29,35.29,41.18,1.12,1.76,17.65,41.18,1.53,26,26.2,35,1.03,18,0.53,53,1.56,31,0.91,4,4,78,0.0,1.44
Bundesliga,2014-2015,HOFFENHEIM,1.82,1.53,52.94,52.94,1.06,1.71,17.65,17.65,1.62,23,24.8,48,1.41,33,0.97,81,2.38,44,1.29,4,5,68,0.0,2.26
Bundesliga,2014-2015,KÖLN,1.06,1.0,23.53,29.41,0.94,1.35,29.41,47.06,1.18,23,25.1,33,0.97,20,0.59,53,1.56,29,0.85,4,4,48,0.0,1.44
Bundesliga,2014-2015,LEVERKUSEN,2.29,0.88,58.82,23.53,1.35,1.29,41.18,47.06,1.09,22,24.9,62,1.82,36,1.06,98,2.88,62,1.82,0,1,80,0.0,2.88
Bundesliga,2014-2015,MAINZ 05,1.59,1.12,35.29,29.41,1.06,1.65,17.65,11.76,1.38,29,25.3,44,1.29,26,0.76,70,2.06,39,1.15,5,5,52,0.0,1.91
Bundesliga,2014-2015,PADERBORN 07,1.24,1.82,23.53,23.53,0.59,2.0,17.65,23.53,1.91,24,26.8,30,0.88,21,0.62,51,1.5,29,0.85,1,1,53,0.0,1.47
Bundesliga,2014-2015,SCHALKE 04,1.53,0.82,58.82,52.94,0.94,1.53,17.65,29.41,1.18,29,25.2,40,1.18,29,0.85,69,2.03,38,1.12,2,3,68,0.0,1.97
Bundesliga,2014-2015,STUTTGART,1.06,1.65,29.41,35.29,1.41,1.88,23.53,41.18,1.76,24,24.9,41,1.21,29,0.85,70,2.06,40,1.18,1,1,64,0.0,2.03
Bundesliga,2014-2015,WERDER BREMEN,1.47,1.41,47.06,35.29,1.47,2.41,17.65,35.29,1.91,31,25.7,49,1.44,36,1.06,85,2.5,45,1.32,4,5,70,0.0,2.38
Bundesliga,2014-2015,WOLFSBURG,2.24,0.76,76.47,35.29,2.0,1.47,41.18,41.18,1.12,22,26.1,71,2.09,50,1.47,121,3.56,68,2.0,3,4,45,0.0,3.47
Bundesliga,2015-2016,AUGSBURG,1.06,1.59,17.65,29.41,1.41,1.47,35.29,41.18,1.53,27,27.4,40,1.18,20,0.59,60,1.76,33,0.97,7,7,82,0.0,1.56
Bundesliga,2015-2016,BAYERN MUNICH,3.0,0.47,88.24,17.65,1.71,0.53,76.47,35.29,0.5,25,26.8,79,2.32,54,1.59,133,3.91,71,2.09,8,9,50,0.0,3.68
Bundesliga,2015-2016,DARMSTADT 98,0.88,1.71,11.76,29.41,1.35,1.41,41.18,35.29,1.56,23,27.5,38,1.12,30,0.88,68,2.0,36,1.06,2,4,88,0.0,1.94
Bundesliga,2015-2016,DORTMUND,2.88,0.82,82.35,17.65,1.94,1.18,58.82,23.53,1.0,26,25.6,80,2.35,64,1.88,144,4.24,76,2.24,4,6,39,,4.12
Bundesliga,2015-2016,EINT FRANKFURT,1.28,1.39,33.33,33.33,0.72,1.56,22.22,38.89,1.47,30,26.7,32,0.94,25,0.74,57,1.68,30,0.88,2,2,99,0.0,1.62
Bundesliga,2015-2016,GLADBACH,2.47,1.06,76.47,29.41,1.47,1.88,23.53,41.18,1.47,26,24.9,64,1.88,47,1.38,111,3.26,60,1.76,4,5,49,0.0,3.15
Bundesliga,2015-2016,HAMBURGER SV,1.18,1.35,29.41,52.94,1.18,1.35,35.29,35.29,1.35,28,27.1,37,1.09,26,0.76,63,1.85,34,1.0,3,3,75,0.0,1.76
Bundesliga,2015-2016,HANNOVER 96,0.88,1.76,23.53,47.06,0.94,1.88,17.65,41.18,1.82,33,25.6,30,0.88,21,0.62,51,1.5,28,0.82,2,3,66,0.0,1.44
Bundesliga,2015-2016,HERTHA BSC,1.41,0.88,52.94,29.41,1.06,1.59,29.41,35.29,1.24,26,26.1,41,1.21,31,0.91,72,2.12,38,1.12,3,3,71,0.0,2.03
Bundesliga,2015-2016,HOFFENHEIM,1.29,1.47,35.29,47.06,1.0,1.71,17.65,23.53,1.59,26,24.1,39,1.15,26,0.76,65,1.91,36,1.06,3,6,63,0.0,1.82
Bundesliga,2015-2016,INGOLSTADT 04,1.29,1.06,41.18,41.18,0.65,1.41,17.65,41.18,1.24,25,26.3,33,0.97,20,0.59,53,1.56,24,0.71,9,10,83,0.0,1.29
Bundesliga,2015-2016,KÖLN,0.94,1.06,29.41,41.18,1.29,1.41,29.41,17.65,1.24,23,25.1,38,1.12,30,0.88,68,2.0,35,1.03,3,4,56,0.0,1.91
Bundesliga,2015-2016,LEVERKUSEN,1.82,1.0,58.82,52.94,1.47,1.35,47.06,41.18,1.18,27,24.1,51,1.5,36,1.06,87,2.56,49,1.44,2,3,70,0.0,2.5
Bundesliga,2015-2016,MAINZ 05,1.35,1.06,47.06,29.41,1.35,1.41,35.29,52.94,1.24,29,25.0,46,1.35,31,0.91,77,2.26,45,1.32,1,1,54,0.0,2.24
Bundesliga,2015-2016,SCHALKE 04,1.65,1.41,47.06,35.29,1.35,1.47,41.18,29.41,1.44,28,24.9,47,1.38,37,1.09,84,2.47,44,1.29,3,5,64,0.0,2.38
Bundesliga,2015-2016,STUTTGART,1.29,1.88,35.29,23.53,1.65,2.53,17.65,23.53,2.21,31,26.0,48,1.41,34,1.0,82,2.41,44,1.29,4,4,72,0.0,2.29
Bundesliga,2015-2016,WERDER BREMEN,1.59,1.76,29.41,35.29,1.35,2.06,29.41,35.29,1.91,30,26.6,49,1.44,32,0.94,81,2.38,43,1.26,6,9,80,0.0,2.21
Bundesliga,2015-2016,WOLFSBURG,1.88,1.0,52.94,23.53,0.88,1.88,17.65,29.41,1.44,29,27.0,46,1.35,39,1.15,85,2.5,43,1.26,3,3,59,0.0,2.41
Bundesliga,2016-2017,AUGSBURG,1.29,1.47,29.41,29.41,0.76,1.53,23.53,35.29,1.5,28,27.1,35,1.03,22,0.65,57,1.68,32,0.94,3,4,71,2.0,1.59
Bundesliga,2016-2017,BAYERN MUNICH,3.24,0.53,76.47,11.76,2.0,0.76,70.59,47.06,0.65,22,28.0,88,2.59,64,1.88,152,4.47,83,2.44,5,5,47,0.0,4.32
Bundesliga,2016-2017,DARMSTADT 98,1.06,1.47,35.29,41.18,0.59,2.24,5.88,47.06,1.85,31,27.6,28,0.82,16,0.47,44,1.29,23,0.68,5,7,76,5.0,1.15
Bundesliga,2016-2017,DORTMUND,2.41,0.71,76.47,35.29,1.82,1.65,29.41,35.29,1.18,27,25.3,71,2.09,49,1.44,120,3.53,66,1.94,5,7,57,,3.38
Bundesliga,2016-2017,EINT FRANKFURT,1.41,1.06,41.18,29.41,0.71,1.47,23.53,41.18,1.26,26,25.9,35,1.03,24,0.71,59,1.74,33,0.97,2,6,86,1.0,1.68
Bundesliga,2016-2017,FREIBURG,1.35,1.41,58.82,52.94,1.12,2.12,23.53,29.41,1.76,25,24.7,42,1.24,28,0.82,70,2.06,36,1.06,6,8,56,0.0,1.88
Bundesliga,2016-2017,GLADBACH,1.53,1.06,41.18,47.06,1.12,1.82,29.41,35.29,1.44,24,25.3,44,1.29,27,0.79,71,2.09,43,1.26,1,4,50,2.0,2.06
Bundesliga,2016-2017,HAMBURGER SV,1.24,1.47,47.06,58.82,0.71,2.12,11.76,17.65,1.79,29,25.8,32,0.94,26,0.76,58,1.71,32,0.94,0,2,77,2.0,1.71
Bundesliga,2016-2017,HERTHA BSC,1.65,1.12,70.59,41.18,0.88,1.65,17.65,35.29,1.38,26,27.1,42,1.24,26,0.76,68,2.0,37,1.09,5,5,67,2.0,1.85
Bundesliga,2016-2017,HOFFENHEIM,2.06,0.82,64.71,35.29,1.71,1.35,29.41,29.41,1.09,23,25.0,64,1.88,47,1.38,111,3.26,59,1.74,5,5,63,0.0,3.12
Bundesliga,2016-2017,INGOLSTADT 04,1.24,1.76,23.53,29.41,0.88,1.59,23.53,47.06,1.68,22,26.9,35,1.03,20,0.59,55,1.62,29,0.85,6,8,75,3.0,1.44
Bundesliga,2016-2017,KÖLN,1.71,1.0,52.94,29.41,1.29,1.47,17.65,35.29,1.24,26,26.2,49,1.44,36,1.06,85,2.5,46,1.35,3,4,74,1.0,2.41
Bundesliga,2016-2017,LEVERKUSEN,1.59,1.65,29.41,23.53,1.53,1.59,35.29,64.71,1.62,24,24.2,53,1.56,39,1.15,92,2.71,49,1.44,4,9,56,3.0,2.59
Bundesliga,2016-2017,MAINZ 05,1.76,1.53,41.18,35.29,0.82,1.71,17.65,41.18,1.62,28,25.1,43,1.26,28,0.82,71,2.09,36,1.06,7,7,73,3.0,1.88
Bundesliga,2016-2017,RB LEIPZIG,2.06,0.94,70.59,41.18,1.82,1.35,47.06,35.29,1.15,23,24.0,62,1.82,49,1.44,111,3.26,59,1.74,3,4,68,1.0,3.18
Bundesliga,2016-2017,SCHALKE 04,1.71,0.88,47.06,17.65,0.94,1.47,17.65,41.18,1.18,29,25.3,45,1.32,30,0.88,75,2.21,43,1.26,2,4,69,0.0,2.15
Bundesliga,2016-2017,WERDER BREMEN,1.65,1.41,47.06,58.82,1.94,2.35,29.41,29.41,1.88,31,27.0,61,1.79,39,1.15,100,2.94,55,1.62,6,6,67,0.0,2.76
Bundesliga,2016-2017,WOLFSBURG,0.89,1.39,33.33,66.67,1.11,1.5,33.33,38.89,1.44,31,25.7,32,0.94,23,0.68,55,1.62,29,0.85,3,3,69,2.0,1.53
Bundesliga,2017-2018,AUGSBURG,1.41,1.41,35.29,41.18,1.12,1.29,23.53,17.65,1.35,27,26.6,41,1.21,30,0.88,71,2.09,37,1.09,4,4,68,,1.97
Bundesliga,2017-2018,BAYERN MUNICH,3.29,0.88,82.35,11.76,2.12,0.76,76.47,35.29,0.82,28,27.4,90,2.65,72,2.12,162,4.76,84,2.47,6,8,42,,4.59
Bundesliga,2017-2018,DORTMUND,2.35,1.24,52.94,35.29,1.41,1.53,35.29,23.53,1.38,30,25.9,62,1.82,44,1.29,106,3.12,59,1.74,3,6,41,,3.03
Bundesliga,2017-2018,EINT FRANKFURT,1.53,1.12,47.06,47.06,1.12,1.53,35.29,58.82,1.32,28,26.4,44,1.29,34,1.0,78,2.29,42,1.24,2,2,72,,2.24
Bundesliga,2017-2018,FREIBURG,1.0,1.0,41.18,47.06,0.88,2.29,5.88,17.65,1.65,29,24.8,32,0.94,21,0.62,53,1.56,26,0.76,6,10,56,,1.38
Bundesliga,2017-2018,GLADBACH,1.65,1.18,52.94,41.18,1.12,1.88,23.53,29.41,1.53,27,25.7,46,1.35,26,0.76,72,2.12,40,1.18,6,7,47,,1.94
Bundesliga,2017-2018,HAMBURGER SV,1.0,1.12,35.29,47.06,0.71,2.0,11.76,23.53,1.56,29,25.0,28,0.82,18,0.53,46,1.35,25,0.74,3,5,63,,1.26
Bundesliga,2017-2018,HANNOVER 96,1.65,1.47,47.06,47.06,0.94,1.71,11.76,41.18,1.59,26,26.4,44,1.29,26,0.76,70,2.06,40,1.18,4,5,63,,1.94
Bundesliga,2017-2018,HERTHA BSC,1.35,1.59,29.41,23.53,1.18,1.12,29.41,35.29,1.35,25,26.4,43,1.26,32,0.94,75,2.21,39,1.15,4,5,49,,2.09
